Field Name,Field Label,View Type,View Type Name,Description,Input to GPT,New Description
StRate1,<V>BILLRATE_A</V>,2,Staff List,"Each staff member can be assigned up to five standard billing rates.  If you have projects that bill based on a fixed set of standard 'staff rate cards,' this this field will return one of those five standard billing rates.","Field Name: StRate1, Field Label: <V>BILLRATE_A</V>, View Type, 2, Description: Each staff member can be assigned up to five standard billing rates.  If you have projects that bill based on a fixed set of standard 'staff rate cards,' this this field will return one of those five standard billing rates.","{
    ""Field Name"": ""StRate1"",
    ""View Type"": 2,
    ""Description"": ""StRate1 is a report field that belongs to the View Type 2. It reports on the first of up to five standard billing rates assigned to each staff member. This field is used in professional service firms that have projects billing based on a fixed set of standard 'staff rate cards,' and it returns the first standard billing rate for a particular staff member.""
}"
StRate2,<V>BILLRATE_B</V>,2,Staff List,"Each staff member can be assigned up to five standard billing rates.  If you have projects that bill based on a fixed set of standard 'staff rate cards,' this this field will return one of those five standard billing rates.","Field Name: StRate2, Field Label: <V>BILLRATE_B</V>, View Type, 2, Description: Each staff member can be assigned up to five standard billing rates.  If you have projects that bill based on a fixed set of standard 'staff rate cards,' this this field will return one of those five standard billing rates.","{
    ""Field Name"": ""StRate2"",
    ""View Type"": 2,
    ""Description"": ""StRate2 is a report field that represents the second standard billing rate for staff members. It allows for the assignment of up to five standard billing rates per staff member. This field is useful for projects that bill based on a fixed set of standard 'staff rate cards,' providing one of the five standard billing rates for reporting and analysis purposes.""
}"
StRate3,<V>BILLRATE_C</V>,2,Staff List,"Each staff member can be assigned up to five standard billing rates.  If you have projects that bill based on a fixed set of standard 'staff rate cards,' this this field will return one of those five standard billing rates.","Field Name: StRate3, Field Label: <V>BILLRATE_C</V>, View Type, 2, Description: Each staff member can be assigned up to five standard billing rates.  If you have projects that bill based on a fixed set of standard 'staff rate cards,' this this field will return one of those five standard billing rates.","{
    ""Field Name"": ""StRate3"", 
    ""View Type"": 2, 
    ""Description"": ""StRate3 is a report field that falls under View Type 2. It reports on the third standard billing rate assigned to staff members. This field is used to track and analyze the standard billing rates for staff members, particularly when projects are billed based on a fixed set of standard 'staff rate cards'. It allows for the identification and categorization of different billing rates associated with staff members for accurate project billing and financial analysis.""
}"
StRate4,<V>BILLRATE_D</V>,2,Staff List,"Each staff member can be assigned up to five standard billing rates.  If you have projects that bill based on a fixed set of standard 'staff rate cards,' this this field will return one of those five standard billing rates.","Field Name: StRate4, Field Label: <V>BILLRATE_D</V>, View Type, 2, Description: Each staff member can be assigned up to five standard billing rates.  If you have projects that bill based on a fixed set of standard 'staff rate cards,' this this field will return one of those five standard billing rates.","{
    ""Field Name"": ""StRate4"", ""View Type"": 2, ""Description"": ""The StRate4 field, labeled as <V>BILLRATE_D</V>, is a report field that falls under view type 2. It represents the fourth standard billing rate for staff members in professional service firms. This field is used to retrieve one of the five standard billing rates assigned to staff members, particularly when projects are billed based on a fixed set of standard staff rate cards. It provides a way to track and report on the standard billing rates applied to staff members for different projects and client engagements.""
}"
StRate5,<V>BILLRATE_E</V>,2,Staff List,"Each staff member can be assigned up to five standard billing rates.  If you have projects that bill based on a fixed set of standard 'staff rate cards,' this this field will return one of those five standard billing rates.","Field Name: StRate5, Field Label: <V>BILLRATE_E</V>, View Type, 2, Description: Each staff member can be assigned up to five standard billing rates.  If you have projects that bill based on a fixed set of standard 'staff rate cards,' this this field will return one of those five standard billing rates.","{
    ""Field Name"": ""StRate5"",
    ""View Type"": 2,
    ""Description"": ""StRate5 is a report field that captures the fifth standard billing rate for staff members. In professional service firms, staff members may have multiple standard billing rates for different types of projects or clients. This field is useful for identifying the specific standard billing rate used for a particular project or client, especially in cases where billing is based on a fixed set of standard 'staff rate cards.'""
}"
StRBillCap,Billable vs. Capacity (%),2,Staff List,[Billable Hours Input] / [Capacity].  Capacity and Billable Hours are both computed for the period that you specify when you run this report.,"Field Name: StRBillCap, Field Label: Billable vs. Capacity (%), View Type, 2, Description: [Billable Hours Input] / [Capacity].  Capacity and Billable Hours are both computed for the period that you specify when you run this report.","{
    ""Field Name"": ""StRBillCap"",
    ""View Type"": 2,
    ""Description"": ""StRBillCap reports on the percentage of billable hours versus capacity. It is calculated as the billable hours input divided by the capacity. This field provides insight into the utilization of capacity for billable work during the specified period. It helps in understanding the efficiency of billable hours utilization and can be used for resource allocation and performance evaluation.""
}"
StRBillin,Billable vs. Input (%),2,Staff List,[Billable Hours Input] / [Hours Input].  All of the fields used in this calculation are computed only for the period that you specify when you run this report.,"Field Name: StRBillin, Field Label: Billable vs. Input (%), View Type, 2, Description: [Billable Hours Input] / [Hours Input].  All of the fields used in this calculation are computed only for the period that you specify when you run this report.","{
    ""Field Name"": ""StRBillin"",
    ""View Type"": 2,
    ""Description"": ""StRBillin represents the percentage of billable hours compared to the total input hours. It is calculated by dividing the billable hours input by the total hours input. This field provides insight into the efficiency and utilization of billable time within a specified period, aiding in resource management and billing accuracy.""
}"
StRCap1,Capacity,2,Staff List,([Staff Monthly Capacity] / 20) * [Number of Work Days].  The staff monthly capacity is the capacity number from each staff member's HR/Accounting section.  Total Work Days in the period is a count of the weekdays that fall within the date range you specify when you run this report.,"Field Name: StRCap1, Field Label: Capacity, View Type, 2, Description: ([Staff Monthly Capacity] / 20) * [Number of Work Days].  The staff monthly capacity is the capacity number from each staff member's HR/Accounting section.  Total Work Days in the period is a count of the weekdays that fall within the date range you specify when you run this report.","{
    ""Field Name"": ""StRCap1"",
    ""View Type"": 2,
    ""Description"": ""The StRCap1 report field, labeled as Capacity, calculates the staff member's monthly capacity based on the formula: (Staff Monthly Capacity / 20) * Number of Work Days. The staff monthly capacity is retrieved from each staff member's HR/Accounting section. The Total Work Days is calculated as the count of weekdays within the specified date range when running this report. This field is useful for evaluating and managing staff workload and resource allocation.""
}"
StRCap2,Capacity (Work Days),2,Staff List,[Total Workdays]*[8 Hours].,"Field Name: StRCap2, Field Label: Capacity (Work Days), View Type, 2, Description: [Total Workdays]*[8 Hours].","{
    ""Field Name"": ""StRCap2"",
    ""View Type"": 2,
    ""Description"": ""StRCap2 is a report field that represents the capacity in work days. It reports on the total workdays multiplied by 8 hours. This field would be used to calculate the available capacity for work in terms of work days, taking into account the standard 8-hour work day.""
}"
StRDailyCap,Capacity (Daily),2,Staff List,([Staff Monthly Capacity] / 20). The staff monthly capacity is the capacity number from each staff member's HR/Accounting section.,"Field Name: StRDailyCap, Field Label: Capacity (Daily), View Type, 2, Description: ([Staff Monthly Capacity] / 20). The staff monthly capacity is the capacity number from each staff member's HR/Accounting section.","{
    ""Field Name"": ""StRDailyCap"",
    ""View Type"": 2,
    ""Description"": ""The StRDailyCap field reports the daily capacity of staff members. It is calculated as the staff member's monthly capacity divided by 20. The staff monthly capacity is sourced from each staff member's HR/Accounting section. This field is useful for assessing and managing staff workloads, scheduling project timelines, and ensuring efficient resource allocation.""
}"
StRInCap,Input vs. Capacity (%),2,Staff List,[Hours Input] / [Capacity].  Capacity and Hours Input are both computed for the period that you specify when you run this report.,"Field Name: StRInCap, Field Label: Input vs. Capacity (%), View Type, 2, Description: [Hours Input] / [Capacity].  Capacity and Hours Input are both computed for the period that you specify when you run this report.","{
    ""Field Name"": ""StRInCap"",
    ""View Type"": 2,
    ""Description"": ""StRInCap represents the percentage of input versus capacity. It is calculated by dividing the hours input by the capacity. This report field allows users to compare the actual hours input to the capacity for a specified period, providing insights into resource utilization and efficiency.""
}"
StRNCBill,No-Charge vs. Billable (%),2,Staff List,([Hours Input] - [Billable Hours Input]) / [Billable Hours Input].  All of the fields used in this calculation are computed only for the period that you specify when you run this report.,"Field Name: StRNCBill, Field Label: No-Charge vs. Billable (%), View Type, 2, Description: ([Hours Input] - [Billable Hours Input]) / [Billable Hours Input].  All of the fields used in this calculation are computed only for the period that you specify when you run this report.","{
    ""Field Name"": ""StRNCBill"",
    ""View Type"": 2,
    ""Description"": ""The StRNCBill report field calculates the percentage of non-billable hours compared to billable hours. It is computed as ([Hours Input] - [Billable Hours Input]) / [Billable Hours Input]. This metric is useful for analyzing the proportion of non-billable work in relation to billable work for the specified period, providing insights into resource utilization and the potential impact on profitability.""
}"
StRNCCap,No-Charge vs. Capacity (%),2,Staff List,([Hours Input] - [Billable Hours Input]) / [Capacity].  Capacity and both of the hours fields are computed for the period that you specify when you run this report.,"Field Name: StRNCCap, Field Label: No-Charge vs. Capacity (%), View Type, 2, Description: ([Hours Input] - [Billable Hours Input]) / [Capacity].  Capacity and both of the hours fields are computed for the period that you specify when you run this report.","{
    ""Field Name"": ""StRNCCap"",
    ""View Type"": 2,
    ""Description"": ""StRNCCap represents the calculation of No-Charge vs. Capacity (%), which is derived from the formula: ([Hours Input] - [Billable Hours Input]) / [Capacity]. This field provides insights into capacity utilization by comparing non-billable hours to overall capacity for a specified period. It helps in evaluating resource utilization and identifying areas for improving billable efficiency.""
}"
StRNCIn,No-Charge vs. Input (%),2,Staff List,([Hours Input] - [Billable Hours Input]) / [Hours Input].  All of the fields used in this calculation are computed only for the period that you specify when you run this report.,"Field Name: StRNCIn, Field Label: No-Charge vs. Input (%), View Type, 2, Description: ([Hours Input] - [Billable Hours Input]) / [Hours Input].  All of the fields used in this calculation are computed only for the period that you specify when you run this report.","{
    ""Field Name"": ""StRNCIn"",
    ""View Type"": 2,
    ""Description"": ""The 'No-Charge vs. Input (%)' report field calculates the percentage of non-billable hours in relation to total hours input. It is derived from the formula: ([Hours Input] - [Billable Hours Input]) / [Hours Input]. This information is computed based on the specified reporting period.""
}"
StRWkDays,Work Days in Period,2,Staff List,Total number of weekdays in the period you specify when you run this report.  Note that we don't take vacation or holidays into account when computing work days for a period.,"Field Name: StRWkDays, Field Label: Work Days in Period, View Type, 2, Description: Total number of weekdays in the period you specify when you run this report.  Note that we don't take vacation or holidays into account when computing work days for a period.","{
    ""Field Name"": ""StRWkDays"",
    ""View Type"": 2,
    ""Description"": ""The 'Work Days in Period' report field provides the total number of weekdays within the specified period. This information is useful for analyzing resource availability, project timelines, and workload distribution. It's important to note that this report does not account for vacation days or holidays when calculating workdays.""
}"
StSecurityGrps,Security Groups,2,Staff List,This field will list all of the security groups that this staffer belongs to.,"Field Name: StSecurityGrps, Field Label: Security Groups, View Type, 2, Description: This field will list all of the security groups that this staffer belongs to.","{
    ""Field Name"": ""StSecurityGrps"", ""View Type"": 2, ""Description"": ""The Security Groups report field lists all of the security groups that a staffer belongs to. This information is valuable for managing access permissions and ensuring that staffers have appropriate levels of access within the organization's systems and resources.""
}"
StSName,Last Name,2,Staff List,Staff member's last name.,"Field Name: StSName, Field Label: Last Name, View Type, 2, Description: Staff member's last name.","{
    ""Field Name"": ""StSName"", ""View Type"": 2, ""Description"": ""The StSName report field represents the last name of a staff member within the professional service firm. This field reports on the last names of staff members and can be used for various reporting and analysis purposes, such as identifying staff members, organizing data, and generating staff-specific reports."" 
}"
StStart_dt,Start Date,2,Staff List,,"Field Name: StStart_dt, Field Label: Start Date, View Type, 2, Description: NULL","{
    ""Field Name"": ""StStart_dt"",
    ""View Type"": 2,
    ""Description"": ""The StStart_dt field represents the start date of a project or task within the professional service firm. It reports on the date when a project or task officially begins. This field is used to track and analyze the timing of project initiation, as well as to schedule and plan resource allocation and project timelines.""
}"
StState,State,2,Staff List,Address information can be adjusted in the staff member's general info page.,"Field Name: StState, Field Label: State, View Type, 2, Description: Address information can be adjusted in the staff member's general info page.","{
    ""Field Name"": ""StState"",
    ""View Type"": 2,
    ""Description"": ""The 'State' report field represents the state or province of the address for a staff member. This field can be adjusted in the staff member's general info page. It is used to track and report on the location of staff members in professional service firms.""
}"
StStatus,Status,2,Staff List,Staff member's status.,"Field Name: StStatus, Field Label: Status, View Type, 2, Description: Staff member's status.","{
    ""Field Name"": ""StStatus"", 
    ""View Type"": 2, 
    ""Description"": ""The StStatus report field refers to the status of a staff member within the professional service firm. It reports on the current status of the staff member, indicating whether they are active, on leave, or any other relevant status. This information is useful for tracking the availability and engagement of staff members, facilitating resource planning, and ensuring efficient allocation of personnel for projects and client engagements.""
}"
STTeamList,Team List,2,Staff List,This field will list all of the staff teams this staffer is a member of.,"Field Name: STTeamList, Field Label: Team List, View Type, 2, Description: This field will list all of the staff teams this staffer is a member of.","{
    ""Field Name"": ""STTeamList"",
    ""View Type"": 2,
    ""Description"": ""The STTeamList report field displays the list of all the staff teams that a specific staffer is a member of. This report provides visibility into the various teams that the staffer is associated with, allowing for effective team management and resource allocation within the professional service firm.""
}"
StTerm_dt,Terminated,2,Staff List,Termination Date (from the HR/Accounting page).,"Field Name: StTerm_dt, Field Label: Terminated, View Type, 2, Description: Termination Date (from the HR/Accounting page).","{
    ""Field Name"": ""StTerm_dt"", ""View Type"": 2, ""Description"": ""The StTerm_dt field, also known as 'Terminated', reports the termination date of an employee. It is sourced from the HR/Accounting page and is used to track and manage employee terminations within the professional service firm. This information is valuable for HR and management to ensure compliance with employment regulations, update staffing records, and analyze turnover within the organization.""
}"
StTitle,Title,2,Staff List,Title can be adjusted on the staff member's general info page.,"Field Name: StTitle, Field Label: Title, View Type, 2, Description: Title can be adjusted on the staff member's general info page.","{
    ""Field Name"": ""StTitle"",
    ""View Type"": 2,
    ""Description"": ""The 'Title' report field refers to the professional title or designation of a staff member within the organization. This field can be adjusted on the staff member's general information page. It is used to track and report on the specific titles held by staff members, providing important insight into the composition and expertise of the workforce.""
}"
StZip,Zip,2,Staff List,Address information can be adjusted in the staff member's general info page.,"Field Name: StZip, Field Label: Zip, View Type, 2, Description: Address information can be adjusted in the staff member's general info page.","{
    ""Field Name"": ""StZip"", ""View Type"": 2, ""Description"": ""The 'Zip' report field refers to the postal code associated with an address. This field is commonly used to capture the location-specific information of clients, projects, or staff members. It can be adjusted in the general info page of the staff member, allowing for accurate address details to be maintained and utilized for billing, resource allocation, and client communication purposes.""
}"
InvPostDt2,Post Date,3,Timesheet Detail,The date in which the invoice was posted to your accounting system,"Field Name: InvPostDt2, Field Label: Post Date, View Type, 3, Description: The date in which the invoice was posted to your accounting system","{
    ""Field Name"": ""InvPostDt2"", ""View Type"": 3, ""Description"": ""The 'Post Date' report field indicates the date when the invoice was posted to your accounting system. This date is important for tracking the timeline of financial transactions and ensuring accurate accounting records.""
}"
PROJECTDST2,Default Tax Rate,3,Timesheet Detail,The Default Tax Rate set for the project in question.,"Field Name: PROJECTDST2, Field Label: Default Tax Rate, View Type, 3, Description: The Default Tax Rate set for the project in question.","{
    ""Field Name"": ""PROJECTDST2"",
    ""View Type"": 3,
    ""Description"": ""The Default Tax Rate report field refers to the tax rate that is set as default for the project being analyzed. This field reports on the specific tax rate applied to the project, ensuring accurate financial tracking and compliance with tax regulations. It is used to facilitate proper tax calculations and to ensure that financial reporting reflects the correct tax-related costs for the project.""
}"
PROJECTTASK,Hourly Estimate,3,Timesheet Detail,The total hours estimated for the Task attached to the time entries on the report,"Field Name: PROJECTTASK, Field Label: Hourly Estimate, View Type, 3, Description: The total hours estimated for the Task attached to the time entries on the report","{
    ""Field Name"": ""Hourly Estimate"",
    ""View Type"": 3,
    ""Description"": ""The Hourly Estimate report field displays the total hours estimated for the Task attached to the time entries on the report. It is used to track the projected hours for a specific task within a project, helping to monitor and manage resource allocation and project timelines.""
}"
PROJECTTASK3,Fee Estimate,3,Timesheet Detail,The total fees estimated for the Task attached to the time entries on the report,"Field Name: PROJECTTASK3, Field Label: Fee Estimate, View Type, 3, Description: The total fees estimated for the Task attached to the time entries on the report","{
    ""Field Name"": ""PROJECTTASK3"",
    ""View Type"": 3,
    ""Description"": ""The Fee Estimate report field displays the total fees estimated for the Task attached to the time entries on the report. It is used to track and compare estimated fees against actual fees incurred for the associated task, providing valuable insights into project budgeting and resource allocation.""
}"
StaffSkillListTM,Skill list,3,Timesheet Detail,Each staffer can have skills assigned to their staff profile. This field will return a list of all the skills that have been added to the staffer.,"Field Name: StaffSkillListTM, Field Label: Skill list, View Type, 3, Description: Each staffer can have skills assigned to their staff profile. This field will return a list of all the skills that have been added to the staffer.","{
    ""Field Name"": ""StaffSkillListTM"",
    ""View Type"": 3,
    ""Description"": ""The StaffSkillListTM report field provides a list of skills assigned to each staff member's profile. It reports on the skills added to each staffer, allowing for easy access to a comprehensive list of the skills associated with each staff member. This information can be used for resource allocation, project staffing, and skills assessment within the professional service firm.""
}"
TMAcctItem,Item,3,Timesheet Detail,"If you are connected to an accounting system, then your time entries can be attached to service items through either a <WC@VOCAB>BUDGET_ITEM</WC@VOCAB> or a labor code.  This field indicates the item to which each time entry is linked.  Note that the field is based on your current link(s), time that's posted may have used old link(s) that the system doesn't track.","Field Name: TMAcctItem, Field Label: Item, View Type, 3, Description: If you are connected to an accounting system, then your time entries can be attached to service items through either a <WC@VOCAB>BUDGET_ITEM</WC@VOCAB> or a labor code.  This field indicates the item to which each time entry is linked.  Note that the field is based on your current link(s), time that's posted may have used old link(s) that the system doesn't track.","{
    ""Field Name"": ""TMAcctItem"",
    ""View Type"": 3,
    ""Description"": ""The 'TMAcctItem' report field represents the item to which each time entry is linked in the accounting system when using BigTime software. Time entries can be attached to service items through a budget item or a labor code. This field indicates the specific item linked to each time entry. It is important to note that the field is based on the current links, so time that's already posted may have used old links that are not tracked by the system.""
}"
TMAppr,Approved By,3,Timesheet Detail,"If you are using BigTime's approval workflow, then this field tells you the name of the person who approved each time entry.","Field Name: TMAppr, Field Label: Approved By, View Type, 3, Description: If you are using BigTime's approval workflow, then this field tells you the name of the person who approved each time entry.","{
    ""Field Name"": ""TMAppr"",
    ""View Type"": 3,
    ""Description"": ""The Approved By report field shows the name of the person who approved each time entry, specifically used in BigTime's approval workflow.""
}"
TMApprLevel,Approval Level,3,Timesheet Detail,"If you are using multi-level time approval, then this field will display the current approval level of this time entry.","Field Name: TMApprLevel, Field Label: Approval Level, View Type, 3, Description: If you are using multi-level time approval, then this field will display the current approval level of this time entry.","{
    ""Field Name"": ""TMApprLevel"",
    ""View Type"": 3,
    ""Description"": ""The Approval Level report field displays the current approval level of a time entry. This field is particularly useful for organizations using multi-level time approval processes, allowing users to easily track and manage the status of time entries at different approval stages.""
}"
TMApprovalChk,Approval Checkbox,3,Timesheet Detail,,"Field Name: TMApprovalChk, Field Label: Approval Checkbox, View Type, 3, Description: NULL","{
    ""Field Name"": ""TMApprovalChk"",
    ""View Type"": 3,
    ""Description"": ""The Approval Checkbox report field is used to indicate whether a time entry or expense report has been approved. This field provides a simple way to track the approval status of time and expenses, allowing managers and administrators to easily identify which entries have been approved and which are pending approval. This information can be critical for ensuring that all billable time and reimbursable expenses are properly reviewed and approved before being billed to clients or reimbursed to employees.""
}"
TMApprovalDate,Approval Date,3,Timesheet Detail,Approval Date,"Field Name: TMApprovalDate, Field Label: Approval Date, View Type, 3, Description: Approval Date","{
    ""Field Name"": ""TMApprovalDate"",
    ""View Type"": 3,
    ""Description"": ""The 'Approval Date' report field in view type 3 specifies the date when time entries or time-off requests were approved. This information is essential for tracking the progress of approvals and ensuring compliance with company policies and client requirements. By capturing and analyzing approval dates, firms can monitor efficiency, identify bottlenecks, and maintain accurate records for billing and project management purposes.""
}"
TMApprovalNotes,Approval Notes,3,Timesheet Detail,"If you are using BigTime's approval workflow, then this field gives the details of who and when the entry was approved for each level as well as at what point in the approval process the entry stands.","Field Name: TMApprovalNotes, Field Label: Approval Notes, View Type, 3, Description: If you are using BigTime's approval workflow, then this field gives the details of who and when the entry was approved for each level as well as at what point in the approval process the entry stands.","{
    ""Field Name"": ""TMApprovalNotes"",
    ""View Type"": 3,
    ""Description"": ""The TMApprovalNotes report field provides details of the approval workflow for time entries. It includes information about who and when the entry was approved for each level, as well as the current status of the entry in the approval process. This field is useful for tracking the progress of time entry approvals and maintaining transparency within the organization.""
}"
TMApprStatus,Approval Status,3,Timesheet Detail,"Returns 'Un-submitted', 'Un-approved', 'Approved' or 'Rejected' based on where the time entry stands in the approval workflow.","Field Name: TMApprStatus, Field Label: Approval Status, View Type, 3, Description: Returns 'Un-submitted', 'Un-approved', 'Approved' or 'Rejected' based on where the time entry stands in the approval workflow.","{
    ""Field Name"": ""TMApprStatus"",
    ""View Type"": 3,
    ""Description"": ""The 'Approval Status' report field returns the status of time entries in the approval workflow. It reports whether the time entry is 'Un-submitted', 'Un-approved', 'Approved', or 'Rejected'. This information is helpful for tracking the progress of time entries through the approval process and identifying entries that require action.""
}"
TMApprvd,Approved (Yes/No),3,Timesheet Detail,Returns YES if time has been approved.,"Field Name: TMApprvd, Field Label: Approved (Yes/No), View Type, 3, Description: Returns YES if time has been approved.","{
    ""Field Name"": ""TMApprvd"",
    ""View Type"": 3,
    ""Description"": ""The TMApprvd field reports whether time has been approved or not. It returns YES if the time entry has been approved, indicating that it has been reviewed and accepted. This field is useful for tracking the status of time entries and ensuring that approved time is processed correctly for billing and payroll purposes.""
}"
TMBillRate,Billing Rate,3,Timesheet Detail,"The billable rate (based on the Project's billing rate settings) for these time entries. If this time entry is for a Project in a foreign currency, this will return the rate for the project's currency.","Field Name: TMBillRate, Field Label: Billing Rate, View Type, 3, Description: The billable rate (based on the Project's billing rate settings) for these time entries. If this time entry is for a Project in a foreign currency, this will return the rate for the project's currency.","{
    ""Field Name"": ""TMBillRate"",
    ""View Type"": 3,
    ""Description"": ""The TMBillRate report field represents the billable rate for time entries. It reports on the billable rate based on the Project's billing rate settings. If the time entry is for a Project in a foreign currency, it will return the rate for the project's currency. This field is used to track and analyze billable rates for time entries in professional service firms.""
}"
TMBillRateBase,Billing Rate,3,Timesheet Detail,"The billable rate (based on the Project's billing rate settings) for these time entries. If this time entry is for a Project in a foreign currency, this will return the rate converted into your base currency.","Field Name: TMBillRateBase, Field Label: Billing Rate, View Type, 3, Description: The billable rate (based on the Project's billing rate settings) for these time entries. If this time entry is for a Project in a foreign currency, this will return the rate converted into your base currency.","{
    ""Field Name"": ""TMBillRateBase"", ""View Type"": 3, ""Description"": ""The TMBillRateBase report field represents the billing rate for time entries. It reports on the billable rate based on the Project's billing rate settings. If the time entry is for a Project in a foreign currency, this field will return the rate converted into your base currency. This field is useful for analyzing billable rates for time entries and understanding the impact of currency conversions on billing rates.""
}"
TMCatNm,<V>BCATEGORY</V>,3,Timesheet Detail,"Labor Code (or ""<WC@VOCAB>BCATEGORY</WC@VOCAB>"") attached to the time entries included on your report.","Field Name: TMCatNm, Field Label: <V>BCATEGORY</V>, View Type, 3, Description: Labor Code (or ""<WC@VOCAB>BCATEGORY</WC@VOCAB>"") attached to the time entries included on your report.","{
    ""Field Name"": ""TMCatNm"", ""View Type"": 3, ""Description"": ""TMCatNm is the labor code, or 'BCATEGORY', attached to the time entries included on your report. This report field provides the category of work associated with the time entries, allowing for the analysis and categorization of labor activities within the professional service firm. It can be used to track the types of work being performed, assign costs, and analyze productivity.""
}"
TMChgBill,Billable Charges (Billable Hours*BillRate),3,Timesheet Detail,"[BillableHours*[BillingRate]. Note that billing rates are locked in when the time is attached to an invoice. If this time entry is for a Project in a foreign currency, this will return the fee amount using the bill rate for that currency.","Field Name: TMChgBill, Field Label: Billable Charges (Billable Hours*BillRate), View Type, 3, Description: [BillableHours*[BillingRate]. Note that billing rates are locked in when the time is attached to an invoice. If this time entry is for a Project in a foreign currency, this will return the fee amount using the bill rate for that currency.","{
    ""Field Name"": ""TMChgBill"", ""View Type"": 3, ""Description"": ""The 'Billable Charges' report field calculates the total billable charges by multiplying the billable hours with the billing rate. This field is used to show the amount that is billable to clients based on the time spent on a project and the corresponding billing rate. It is important for accurately invoicing clients and tracking revenue for professional service firms.""
}"
TMChgBillBase,Billable Charges (Billable Hours*BillRate),3,Timesheet Detail,"[BillableHours*BillingRate]. Note that billing rates are locked in when the time is attached to an invoice. If this time entry is for a Project in a foreign currency, this will return the fee amount converted into your base currency.","Field Name: TMChgBillBase, Field Label: Billable Charges (Billable Hours*BillRate), View Type, 3, Description: [BillableHours*BillingRate]. Note that billing rates are locked in when the time is attached to an invoice. If this time entry is for a Project in a foreign currency, this will return the fee amount converted into your base currency.","{
    ""Field Name"": ""TMChgBillBase"",
    ""View Type"": 3,
    ""Description"": ""TMChgBillBase calculates the billable charges by multiplying the billable hours with the billing rate. This field reports on the total billable amount for the time entry. It is used to track billable hours and calculate the corresponding billable amount for invoicing purposes. The billing rates are locked in when the time is attached to an invoice, and for projects in foreign currencies, this field returns the fee amount converted into the base currency.""
}"
TMChgIN,Charges (Input*BillRate),3,Timesheet Detail,"[InputHours*BillRate]. Note that billing rates are locked in when time is attached to an invoice. If this time entry is for a Project in a foreign currency, this will return the fee amount using the bill rate for that currency.","Field Name: TMChgIN, Field Label: Charges (Input*BillRate), View Type, 3, Description: [InputHours*BillRate]. Note that billing rates are locked in when time is attached to an invoice. If this time entry is for a Project in a foreign currency, this will return the fee amount using the bill rate for that currency.","{
    ""Field Name"": ""TMChgIN"", ""View Type"": 3, ""Description"": ""TMChgIN reports the charges calculated by multiplying the input hours by the bill rate. The billing rates are locked in when time is attached to an invoice. If this time entry is for a Project in a foreign currency, TMChgIN will return the fee amount using the bill rate for that currency.""
}"
TMChgINBase,Charges (Input*BillRate),3,Timesheet Detail,"[InputHours*BillRate]. Note that billing rates are locked in when time is attached to an invoice. If this time entry is for a Project in a foreign currency, this will return the fee amount converted into your base currency.","Field Name: TMChgINBase, Field Label: Charges (Input*BillRate), View Type, 3, Description: [InputHours*BillRate]. Note that billing rates are locked in when time is attached to an invoice. If this time entry is for a Project in a foreign currency, this will return the fee amount converted into your base currency.","{
    ""Field Name"": ""TMChgINBase"",
    ""View Type"": 3,
    ""Description"": ""TMChgINBase reports the charges calculated by multiplying the input hours by the bill rate. This provides the total amount that can be billed for the time entry. It takes into account the billing rates that are locked in when time is attached to an invoice. For projects in foreign currency, it returns the fee amount converted into the base currency.""
}"
TMChgNC,N/C Charges (N/C*BillRate),3,Timesheet Detail,([InputHours] - [BillableHours]) * [BillingRate].  Note that billing rates are locked in when time is attached to an invoice.,"Field Name: TMChgNC, Field Label: N/C Charges (N/C*BillRate), View Type, 3, Description: ([InputHours] - [BillableHours]) * [BillingRate].  Note that billing rates are locked in when time is attached to an invoice.","{
    ""Field Name"": ""TMChgNC"",
    ""View Type"": 3,
    ""Description"": ""The N/C Charges report field calculates the non-billable charges based on the difference between input hours and billable hours, multiplied by the billing rate. This field is used to track non-billable activities and their associated costs, providing insight into the time spent on non-billable tasks and their impact on the overall financial performance of the professional service firm.""
}"
TMClassNm,QuickBooks Class,3,Timesheet Detail,"If your time entries are linked to classes in QuickBooks (either by the user when they enter time, or by the system when time is submitted), the class to which each entry is linked will show up in this column.","Field Name: TMClassNm, Field Label: QuickBooks Class, View Type, 3, Description: If your time entries are linked to classes in QuickBooks (either by the user when they enter time, or by the system when time is submitted), the class to which each entry is linked will show up in this column.","{
    ""Field Name"": ""TMClassNm"",
    ""View Type"": 3,
    ""Description"": ""The QuickBooks Class report field, TMClassNm, displays the class to which each time entry is linked in QuickBooks. This field reports on the association of time entries with specific classes in QuickBooks, whether assigned by the user or the system. It is used to track and analyze time entries based on classes within QuickBooks, providing insight into how time is allocated across different classes for accurate financial reporting and decision-making.""
}"
TMClientNm,<V>CLIENT</V>,3,Timesheet Detail,<WC@VOCAB>CLIENT</WC@VOCAB> Name,"Field Name: TMClientNm, Field Label: <V>CLIENT</V>, View Type, 3, Description: <WC@VOCAB>CLIENT</WC@VOCAB> Name","{
    ""Field Name"": ""TMClientNm"",
    ""View Type"": 3,
    ""Description"": ""TMClientNm is a report field that represents the name of the client. This field reports on the client's name and is typically used to identify and categorize clients for various professional service activities such as time tracking, billing, and client relationship management.""
}"
